"proteinSearched","gene","EntrezSummary","GeneCardsSummary","UniProtKB_Summary","todaysDate"
"pbmc","SLC4A1","The protein encoded by this gene is part of the anion exchanger (AE) family and is expressed in the erythrocyte plasma membrane, where it functions as a chloride/bicarbonate exchanger involved in carbon dioxide transport from tissues to lungs. The protein comprises two domains that are structurally and functionally distinct. The N-terminal 40kDa domain is located in the cytoplasm and acts as an attachment site for the red cell skeleton by binding ankyrin. The glycosylated C-terminal membrane-associated domain contains 12-14 membrane spanning segments and carries out the stilbene disulphonate-sensitive exchange transport of anions. The cytoplasmic tail at the extreme C-terminus of the membrane domain binds carbonic anhydrase II. The encoded protein associates with the red cell membrane protein glycophorin A and this association promotes the correct folding and translocation of the exchanger. This protein is predominantly dimeric but forms tetramers in the presence of ankyrin. Many mutations in this gene are known in man, and these mutations can lead to two types of disease: destabilization of red cell membrane leading to hereditary spherocytosis, and defective kidney acid secretion leading to distal renal tubular acidosis. Other mutations that do not give rise to disease result in novel blood group antigens, which form the Diego blood group system. Southeast Asian ovalocytosis (SAO, Melanesian ovalocytosis) results from the heterozygous presence of a deletion in the encoded protein and is common in areas where Plasmodium falciparum malaria is endemic. One null mutation in this gene is known, resulting in very severe anemia and nephrocalcinosis. [provided by RefSeq, Jul 2008]","                                            SLC4A1 (Solute Carrier Family 4 Member 1 (Diego Blood Group)) is a Protein Coding gene.                                            Diseases associated with SLC4A1 include Renal Tubular Acidosis, Distal, Autosomal Dominant and Cryohydrocytosis.                                            Among its related pathways are Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds and Neuroscience.                                            Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and transporter activity.                                            An important paralog of this gene is SLC4A2.","Functions both as a transporter that mediates electroneutral anion exchange across the cell membrane and as a structural protein. Major integral membrane glycoprotein of the erythrocyte membrane; required for normal flexibility and stability of the erythrocyte membrane and for normal erythrocyte shape via the interactions of its cytoplasmic domain with cytoskeletal proteins, glycolytic enzymes, and hemoglobin. Functions as a transporter that mediates the 1:1 exchange of inorganic anions across the erythrocyte membrane. Mediates chloride-bicarbonate exchange in the kidney, and is required for normal acidification of the urine.
                         B3AT_HUMAN,P02730
                         ","Sun Aug 09 14:11:59 2020"
"pbmc","PGLYRP1","                                            PGLYRP1 (Peptidoglycan Recognition Protein 1) is a Protein Coding gene.                                            Diseases associated with PGLYRP1 include Spherocytosis, Type 2 and Mite Infestation.                                            Among its related pathways are Innate Immune System and Defensins.                                            Gene Ontology (GO) annotations related to this gene include peptidoglycan binding and N-acetylmuramoyl-L-alanine amidase activity.                                            An important paralog of this gene is PGLYRP3.","                                            PGLYRP1 (Peptidoglycan Recognition Protein 1) is a Protein Coding gene.                                            Diseases associated with PGLYRP1 include Spherocytosis, Type 2 and Mite Infestation.                                            Among its related pathways are Innate Immune System and Defensins.                                            Gene Ontology (GO) annotations related to this gene include peptidoglycan binding and N-acetylmuramoyl-L-alanine amidase activity.                                            An important paralog of this gene is PGLYRP3.","Pattern receptor that binds to murein peptidoglycans (PGN) of Gram-positive bacteria. Has bactericidal activity towards Gram-positive bacteria. May kill Gram-positive bacteria by interfering with peptidoglycan biosynthesis. Binds also to Gram-negative bacteria, and has bacteriostatic activity towards Gram-negative bacteria. Plays a role in innate immunity.
                         PGRP1_HUMAN,O75594
                         ","Sun Aug 09 14:11:59 2020"
"pbmc","LTF","This gene is a member of the transferrin family of genes and its protein product is found in the secondary granules of neutrophils. The protein is a major iron-binding protein in milk and body secretions with an antimicrobial activity, making it an important component of the non-specific immune system. The protein demonstrates a broad spectrum of properties, including regulation of iron homeostasis, host defense against a broad range of microbial infections, anti-inflammatory activity, regulation of cellular growth and differentiation and protection against cancer development and metastasis. Antimicrobial, antiviral, antifungal and antiparasitic activity has been found for this protein and its peptides. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2014]","                                            LTF (Lactotransferrin) is a Protein Coding gene.                                            Diseases associated with LTF include Mastitis and Keratoconjunctivitis Sicca.                                            Among its related pathways are Response of Mtb to phagocytosis and Innate Immune System.                                            Gene Ontology (GO) annotations related to this gene include serine-type endopeptidase activity and heparin binding.                                            An important paralog of this gene is TF.","Transferrins are iron binding transport proteins which can bind two Fe(3+) ions in association with the binding of an anion, usually bicarbonate.
                         TRFL_HUMAN,P02788
                         ","Sun Aug 09 14:12:00 2020"
"pbmc","RAP1GAP","This gene encodes a type of GTPase-activating-protein (GAP) that down-regulates the activity of the ras-related RAP1 protein. RAP1 acts as a molecular switch by cycling between an inactive GDP-bound form and an active GTP-bound form. The product of this gene, RAP1GAP, promotes the hydrolysis of bound GTP and hence returns RAP1 to the inactive state whereas other proteins, guanine nucleotide exchange factors (GEFs), act as RAP1 activators by facilitating the conversion of RAP1 from the GDP- to the GTP-bound form. In general, ras subfamily proteins, such as RAP1, play key roles in receptor-linked signaling pathways that control cell growth and differentiation. RAP1 plays a role in diverse processes such as cell proliferation, adhesion, differentiation, and embryogenesis. Alternative splicing results in multiple transcript variants encoding distinct proteins. [provided by RefSeq, Aug 2011]","                                            RAP1GAP (RAP1 GTPase Activating Protein) is a Protein Coding gene.                                            Diseases associated with RAP1GAP include Tuberous Sclerosis and Bleeding Disorder, Platelet-Type, 18.                                            Among its related pathways are Ras signaling pathway and Development Angiotensin activation of ERK.                                            Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and GTPase activator activity.                                            An important paralog of this gene is RAP1GAP2.","GTPase activator for the nuclear Ras-related regulatory protein RAP-1A (KREV-1), converting it to the putatively inactive GDP-bound state.
                         RPGP1_HUMAN,P47736
                         ","Sun Aug 09 14:12:01 2020"
"pbmc","GCKR","This gene encodes a protein belonging to the GCKR subfamily of the SIS (Sugar ISomerase) family of proteins. The gene product is a regulatory protein that inhibits glucokinase in liver and pancreatic islet cells by binding non-covalently to form an inactive complex with the enzyme. This gene is considered a susceptibility gene candidate for a form of maturity-onset diabetes of the young (MODY). [provided by RefSeq, Jul 2008]","                                            GCKR (Glucokinase Regulator) is a Protein Coding gene.                                            Diseases associated with GCKR include Fasting Plasma Glucose Level Quantitative Trait Locus 5 and Maturity-Onset Diabetes Of The Young.                                            Among its related pathways are Regulation of activated PAK-2p34 by proteasome mediated degradation and Hexose transport.                                            Gene Ontology (GO) annotations related to this gene include enzyme binding and protein domain specific binding.                                            ","Regulates glucokinase (GCK) by forming an inactive complex with this enzyme (PubMed:23621087, PubMed:23733961). Acts by promoting GCK recruitment to the nucleus, possibly to provide a reserve of GCK that can be quickly released in the cytoplasm after a meal (PubMed:10456334). The affinity of GCKR for GCK is modulated by fructose metabolites: GCKR with bound fructose 6-phosphate has increased affinity for GCK, while GCKR with bound fructose 1-phosphate has strongly decreased affinity for GCK and does not inhibit GCK activity (PubMed:23621087, PubMed:23733961).
                         GCKR_HUMAN,Q14397
                         ","Sun Aug 09 14:12:02 2020"
"pbmc","OLFM4","This gene was originally cloned from human myeloblasts and found to be selectively expressed in inflammed colonic epithelium. This gene encodes a member of the olfactomedin family. The encoded protein is an antiapoptotic factor that promotes tumor growth and is an extracellular matrix glycoprotein that facilitates cell adhesion. [provided by RefSeq, Mar 2011]","                                            OLFM4 (Olfactomedin 4) is a Protein Coding gene.                                            Diseases associated with OLFM4 include Pancreatic Cancer and Ovary Serous Adenocarcinoma.                                            Among its related pathways are Innate Immune System and Adhesion.                                            Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and cadherin binding.                                            An important paralog of this gene is OLFM1.","May promote proliferation of pancreatic cancer cells by favoring the transition from the S to G2/M phase. In myeloid leukemic cell lines, inhibits cell growth and induces cell differentiation and apoptosis. May play a role in the inhibition of EIF4EBP1 phosphorylation/deactivation. Facilitates cell adhesion, most probably through interaction with cell surface lectins and cadherin.
                         OLFM4_HUMAN,Q6UX06
                         ","Sun Aug 09 14:12:03 2020"
"pbmc","WFDC1","This gene encodes a member of the WAP-type four disulfide core domain family. The WAP-type four-disulfide core domain contains eight cysteines forming four disulfide bonds at the core of the protein, and functions as a protease inhibitor in many family members. This gene is mapped to chromosome 16q24, an area of frequent loss of heterozygosity in cancers, including prostate, breast and hepatocellular cancers and Wilms' tumor. This gene is downregulated in many cancer types and may be involved in the inhibition of cell proliferation. The encoded protein may also play a role in the susceptibility of certain CD4 memory T cells to human immunodeficiency virus infection. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2013]","                                            WFDC1 (WAP Four-Disulfide Core Domain 1) is a Protein Coding gene.                                            Diseases associated with WFDC1 include Corneal Staphyloma.                                                                                        Gene Ontology (GO) annotations related to this gene include serine-type endopeptidase inhibitor activity and peptidase inhibitor activity.                                            ","Has growth inhibitory activity.
                         WFDC1_HUMAN,Q9HC57
                         ","Sun Aug 09 14:12:04 2020"
"pbmc","KLC3","This gene encodes a member of the kinesin light chain gene family. Kinesins are molecular motors involved in the transport of cargo along microtubules, and are composed of two kinesin heavy chain (KHC) and two kinesin light chain (KLC) molecules. KLCs are thought to typically be involved in binding cargo and regulating kinesin activity. In the rat, a protein similar to this gene product is expressed in post-meiotic spermatids, where it associates with structural components of sperm tails and mitochondria. [provided by RefSeq, Jul 2008]","                                            KLC3 (Kinesin Light Chain 3) is a Protein Coding gene.                                            Diseases associated with KLC3 include Spastic Paraplegia, Optic Atrophy, And Neuropathy.                                            Among its related pathways are Signaling by GPCR and RHO GTPases activate KTN1.                                            Gene Ontology (GO) annotations related to this gene include microtubule binding and kinesin binding.                                            An important paralog of this gene is KLC4.","Kinesin is a microtubule-associated force-producing protein that may play a role in organelle transport.
                         KLC3_HUMAN,Q6P597
                         ","Sun Aug 09 14:12:06 2020"
"pbmc","GHRHR","This gene encodes a receptor for growth hormone-releasing hormone. Binding of this hormone to the receptor leads to synthesis and release of growth hormone. Mutations in this gene have been associated with isolated growth hormone deficiency (IGHD), also known as Dwarfism of Sindh, a disorder characterized by short stature. [provided by RefSeq, Jun 2010]","                                            GHRHR (Growth Hormone Releasing Hormone Receptor) is a Protein Coding gene.                                            Diseases associated with GHRHR include Isolated Growth Hormone Deficiency, Type Iv and Isolated Growth Hormone Deficiency, Type Ib.                                            Among its related pathways are Signaling by GPCR and GPCRs, Other.                                            Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and peptide hormone binding.                                            An important paralog of this gene is VIPR1.","Receptor for GRF, coupled to G proteins which activate adenylyl cyclase. Stimulates somatotroph cell growth, growth hormone gene transcription and growth hormone secretion.
                         GHRHR_HUMAN,Q02643
                         ","Sun Aug 09 14:12:08 2020"
"pbmc","DKK1","This gene encodes a member of the dickkopf family of proteins. Members of this family are secreted proteins characterized by two cysteine-rich domains that mediate protein-protein interactions. The encoded protein binds to the LRP6 co-receptor and inhibits beta-catenin-dependent Wnt signaling. This gene plays a role in embryonic development and may be important in bone formation in adults. Elevated expression of this gene has been observed in numerous human cancers and this protein may promote proliferation, invasion and growth in cancer cell lines. [provided by RefSeq, Sep 2017]","                                            DKK1 (Dickkopf WNT Signaling Pathway Inhibitor 1) is a Protein Coding gene.                                            Diseases associated with DKK1 include Chiari Malformation Type I and Osteoporosis, Juvenile.                                            Among its related pathways are Regulation of Wnt-mediated beta catenin signaling and target gene transcription and Signaling by GPCR.                                            Gene Ontology (GO) annotations related to this gene include obsolete signal transducer activity and low-density lipoprotein particle receptor binding.                                            ","Antagonizes canonical Wnt signaling by inhibiting LRP5/6 interaction with Wnt and by forming a ternary complex with the transmembrane protein KREMEN that promotes internalization of LRP5/6 (PubMed:22000856). DKKs play an important role in vertebrate development, where they locally inhibit Wnt regulated processes such as antero-posterior axial patterning, limb development, somitogenesis and eye formation. In the adult, Dkks are implicated in bone formation and bone disease, cancer and Alzheimer disease (PubMed:17143291). Inhibits the pro-apoptotic function of KREMEN1 in a Wnt-independent manner, and has anti-apoptotic activity (By similarity).
                         DKK1_HUMAN,O94907
                         ","Sun Aug 09 14:12:10 2020"
